# Iteration, E/spin, M/spin
0, -0.1367773,  0.0957031
1, -0.1854297,  0.1230469
2, -0.2148047,  0.1425781
3, -0.2441797,  0.1699219
4, -0.2524414,  0.1855469
5, -0.2607031,  0.2402344
6, -0.2873242,  0.3105469
7, -0.2864063,  0.3476562
8, -0.2836523,  0.4003906
9, -0.3157813,  0.3925781
10, -0.3176172,  0.4082031
11, -0.3249609,  0.4394531
12, -0.3359766,  0.4531250
13, -0.3405664,  0.5058594
14, -0.3258789,  0.4433594
15, -0.3323047,  0.4667969
16, -0.3359766,  0.4433594
17, -0.3387305,  0.4277344
18, -0.3469922,  0.4609375
19, -0.3323047,  0.5253906
20, -0.3368945,  0.5195312
21, -0.3368945,  0.5371094
22, -0.3323047,  0.5214844
23, -0.3506641,  0.5039062
24, -0.3433203,  0.5000000
25, -0.3552539,  0.5195312
26, -0.3506641,  0.5253906
27, -0.3497461,  0.5292969
28, -0.3552539,  0.5429688
29, -0.3543359,  0.5292969
30, -0.3460742,  0.5175781
31, -0.3396484,  0.5214844
32, -0.3332227,  0.5312500
33, -0.3396484,  0.5507812
34, -0.3497461,  0.5703125
35, -0.3433203,  0.5527344
36, -0.3497461,  0.5410156
37, -0.3479102,  0.5292969
38, -0.3442383,  0.5136719
39, -0.3460742,  0.5292969
40, -0.3313867,  0.5488281
41, -0.3460742,  0.5332031
42, -0.3515820,  0.5703125
43, -0.3313867,  0.5312500
44, -0.3313867,  0.4980469
45, -0.3332227,  0.4726562
46, -0.3479102,  0.4726562
47, -0.3488281,  0.4707031
48, -0.3332227,  0.4492188
49, -0.3056836,  0.3964844
50, -0.3258789,  0.4316406
51, -0.3295508,  0.4355469
52, -0.3451563,  0.4531250
53, -0.3258789,  0.4824219
54, -0.3359766,  0.4785156
55, -0.3497461,  0.5097656
56, -0.3653516,  0.5273438
57, -0.3525000,  0.5117188
58, -0.3460742,  0.5468750
59, -0.3460742,  0.5683594
60, -0.3442383,  0.5781250
61, -0.3267969,  0.6015625
62, -0.3359766,  0.5996094
63, -0.3313867,  0.6015625
64, -0.3249609,  0.6035156
65, -0.3304688,  0.5917969
66, -0.3387305,  0.6191406
67, -0.3378125,  0.6054688
68, -0.3323047,  0.5800781
69, -0.3313867,  0.6015625
70, -0.3497461,  0.6171875
71, -0.3405664,  0.6289062
72, -0.3515820,  0.6230469
73, -0.3570898,  0.6132812
74, -0.3359766,  0.5800781
75, -0.3249609,  0.5898438
76, -0.3313867,  0.6074219
77, -0.3442383,  0.5839844
78, -0.3368945,  0.5371094
79, -0.3405664,  0.5664062
80, -0.3534180,  0.5527344
81, -0.3323047,  0.5136719
82, -0.3258789,  0.5468750
83, -0.3469922,  0.5917969
84, -0.3653516,  0.6074219
85, -0.3653516,  0.6113281
86, -0.3543359,  0.6308594
87, -0.3515820,  0.6542969
88, -0.3414844,  0.6445312
89, -0.3561719,  0.6777344
90, -0.3469922,  0.6835938
91, -0.3497461,  0.6914062
92, -0.3433203,  0.6855469
93, -0.3350586,  0.6738281
94, -0.3350586,  0.6855469
95, -0.3570898,  0.7246094
96, -0.3791211,  0.7578125
97, -0.3616797,  0.7324219
98, -0.3635156,  0.7246094
99, -0.3488281,  0.7167969
100, -0.3451563,  0.7031250
101, -0.3570898,  0.7304688
102, -0.3433203,  0.7011719
103, -0.3598438,  0.7226562
104, -0.3681055,  0.7480469
105, -0.3598438,  0.7617188
106, -0.3488281,  0.7441406
107, -0.3653516,  0.7851562
108, -0.3552539,  0.7753906
109, -0.3607617,  0.7792969
110, -0.3736133,  0.7929688
111, -0.3873828,  0.8359375
112, -0.3928906,  0.8320312
113, -0.3901367,  0.8203125
114, -0.3837109,  0.8320312
115, -0.3864648,  0.8437500
116, -0.3873828,  0.8183594
117, -0.3892188,  0.8339844
118, -0.3974805,  0.8359375
119, -0.3809570,  0.8339844
120, -0.3883008,  0.8515625
121, -0.3928906,  0.8789062
122, -0.3589258,  0.8164062
123, -0.3772852,  0.8437500
124, -0.3671875,  0.8144531
125, -0.3800391,  0.8320312
